证券代码,证券简称,日期,收盘价,成交量,成交金额
000300.SH,沪深300,20260428,4758.2083,2.16724233E10,6.31521664931E11
399933.SZ,800医卫,20260428,8044.2285,1.4444551E9,4.67040686705E10
000300.SH,沪深300,20260427,4770.9469,1.9279655E10,6.48904814981E11
399933.SZ,800医卫,20260427,7925.6315,1.0912303E9,3.53926916578E10
000300.SH,沪深300,20260426,4769.3688,,
399933.SZ,800医卫,20260426,7962.7664,,
000300.SH,沪深300,20260425,4769.3688,,
399933.SZ,800医卫,20260425,7962.7664,,
000300.SH,沪深300,20260424,4769.3688,1.93798314E10,6.80097832547E11
399933.SZ,800医卫,20260424,7962.7664,1.297833E9,3.9516922717E10
000300.SH,沪深300,20260423,4786.3273,2.32865736E10,6.93853775976E11
399933.SZ,800医卫,20260423,7974.4285,1.3052779E9,4.46067237559E10
000300.SH,沪深300,20260422,4799.627,2.0448183E10,6.19505670177E11
399933.SZ,800医卫,20260422,7985.8918,9.169573E8,3.14972897299E10
000300.SH,沪深300,20260421,4767.997,2.05614058E10,5.8040799562E11
399933.SZ,800医卫,20260421,7953.5547,8.771806E8,3.01993669368E10
000300.SH,沪深300,20260420,4757.4419,2.21633494E10,6.26568410331E11
399933.SZ,800医卫,20260420,7995.1021,1.0640659E9,3.65315337699E10
000300.SH,沪深300,20260419,4728.6716,,
399933.SZ,800医卫,20260419,8014.1153,,
000300.SH,沪深300,20260418,4728.6716,,
399933.SZ,800医卫,20260418,8014.1153,,
000300.SH,沪深300,20260417,4728.6716,1.82915336E10,5.87622682308E11
399933.SZ,800医卫,20260417,8014.1153,1.0920624E9,4.15966730392E10
000300.SH,沪深300,20260416,4736.6077,1.920576E10,5.67611323592E11
399933.SZ,800医卫,20260416,8186.4956,1.0732134E9,3.74203511588E10
000300.SH,沪深300,20260415,4685.2464,2.016885E10,6.04550556798E11
399933.SZ,800医卫,20260415,8207.9242,1.43435E9,4.9080643484E10
000300.SH,沪深300,20260414,4701.2837,2.04700332E10,6.05717793585E11
399933.SZ,800医卫,20260414,8113.7111,1.0306214E9,3.71596920203E10
000300.SH,沪深300,20260413,4646.1546,1.96712277E10,5.5662094524E11
399933.SZ,800医卫,20260413,8059.4869,1.0251756E9,3.5127555751E10
000300.SH,沪深300,20260412,4636.5655,,
399933.SZ,800医卫,20260412,8140.2375,,
000300.SH,沪深300,20260411,4636.5655,,
399933.SZ,800医卫,20260411,8140.2375,,
000300.SH,沪深300,20260410,4636.5655,2.08678605E10,6.25717995648E11
399933.SZ,800医卫,20260410,8140.2375,1.1141105E9,3.70300382938E10
000300.SH,沪深300,20260409,4566.2237,1.84939783E10,5.00445676661E11
399933.SZ,800医卫,20260409,8099.6145,1.1156836E9,3.92373439819E10
000300.SH,沪深300,20260408,4595.556,2.53339213E10,6.4177918097E11
399933.SZ,800医卫,20260408,8197.9357,1.3210386E9,4.63221091389E10
000300.SH,沪深300,20260407,4440.6162,1.62638787E10,3.78261695015E11
399933.SZ,800医卫,20260407,8060.353,8.960542E8,3.35868497019E10
000300.SH,沪深300,20260406,4440.7889,,
399933.SZ,800医卫,20260406,8063.2006,,
000300.SH,沪深300,20260405,4440.7889,,
399933.SZ,800医卫,20260405,8063.2006,,
000300.SH,沪深300,20260404,4440.7889,,
399933.SZ,800医卫,20260404,8063.2006,,
000300.SH,沪深300,20260403,4440.7889,1.68321705E10,3.73234910158E11
